390.6	618.5	553	442	113.1	5.2	1217.7	1011	3000
370.8	636	440	401.8	25.6	113.1	1172.4	894.5	3100
876.3	1098.6	497.6	779.8	903	1003.3	907.2	40.1	2900
745.4	1037	305.9	725.7	445.7	531.4	1376.4	768.1	3100
144.5	354.6	624.7	238	290.7	269.4	993.2	974	3100
200.2	242	691.5	173.4	560	589.7	661.8	855.7	3400
235	205.5	801.5	326.6	477	433.6	966.4	1112	3500
517	541.5	338.4	219	249.5	335	937.3	701.8	3200
542	321	1104	576	896.8	878.4	728.3	1243	3000
665	827	427	523.2	725.2	813.8	692.2	284	3100
799	855.1	916.5	709.3	1057	1115.5	300	617	3300
852.2	798	1083	714.6	1177.4	1216.8	40.8	898.2	3200
602	614	820	517.7	899.6	952.7	272.4	727	3300
903	1092.5	612.5	790	932.4	1034.9	777	152.3	2900
600.7	710	522	448	726.6	811.8	563	426.8	3100
18600	19600	17100	18900	17000	19100	20500	17200       0	
