46	55	126	51	75.0	25	72	6.8	489	27	8	360
52	55	95	42	81.2	18	50	7.2	464	30	5	348
46	69	107	38	98.0	18	74	6.8	430	32	9	386
49	50	105	48	97.6	16	60	6.8	362	26	6	331
42	55	90	46	66.5	2	68	7.2	453	23	11	391
48	61	106	43	78.0	25	58	7.0	405	29	7	389
49	60	100	49	90.6	15	60	7.0	420	21	10	379
48	63	122	52	56.0	17	68	7.0	466	28	2	362
45	55	105	48	76.0	15	61	6.8	415	24	6	386
48	64	120	38	60.2	20	62	7.0	413	28	7	398
49	52	100	42	53.4	6	42	7.4	404	23	6	400
47	62	100	34	61.2	10	62	7.2	427	25	7	407
41	51	101	53	62.4	5	60	8.0	372	25	3	409
52	55	125	43	86.3	5	62	6.8	496	30	10	350
45	52	94	50	51.4	20	65	7.6	394	24	3	399
49	57	110	47	72.3	19	45	7.0	446	30	11	337
53	65	112	47	90.4	15	75	6.6	420	30	12	357
47	57	95	47	72.3	9	64	6.6	447	25	4	447
48	60	120	47	86.4	12	62	6.8	398	28	11	381
49	55	113	41	84.1	15	60	7.0	398	27	4	387
48	69	128	42	47.9	20	63	7.0	485	30	7	350
42	57	122	46	54.2	15	63	7.2	400	28	6	388
54	64	155	51	71.4	19	61	6.9	511	33	12	298
53	63	120	42	56.6	8	53	7.5	430	29	4	353
42	71	138	44	65.2	17	55	7.0	487	29	9	370
46	66	120	45	62.2	22	68	7.4	470	28	7	360
45	56	91	29	66.2	18	51	7.9	380	26	5	358
50	60	120	42	56.6	8	57	6.8	460	32	5	348
42	51	126	50	50.0	13	57	7.7	398	27	2	383
48	50	115	41	52.9	6	39	7.4	415	28	6	314
42	52	140	48	56.3	15	60	6.9	470	27	11	348
48	67	105	39	69.2	23	60	7.6	450	28	10	326
49	74	151	49	54.2	20	58	7.0	500	30	12	330
47	55	113	40	71.4	19	64	7.6	410	29	7	331
49	74	120	53	54.5	22	59	6.9	500	33	21	348
44	52	110	37	54.9	14	57	7.5	400	29	2	421
52	66	130	47	45.9	14	45	6.8	505	28	11	355
48	68	100	45	53.6	23	70	7.2	522	28	9	352
