53.93	50.98	15.48	256.00	65.41
44.92	40.38	14.99	211.07	151.14
148.19	145.54	17.10	842.09	677.52
293.86	279.86	28.80	1238.01	1035.67
86.96	74.64	12.91	302.67	299.32
165.62	160.25	16.46	898.76	800.96
17.93	16.37	6.20	151.39	30.17
199.46	158.24	11.90	885.16	591.17
660.36	607.16	34.74	2278.37	1984.36
17.14	13.72	8.10	81.20	36.34
148.52	117.54	12.60	494.38	335.26
77.27	66.69	20.85	279.34	187.92
724.30	640.15	54.00	2446.98	2323.04
36.78	32.10	32.12	137.64	115.10
539.49	458.66	56.86	2277.00	2237.43
598.92	546.67	35.60	2291.09	2099.21
791.50	680.96	77.80	3298.56	3252.88
