4660.8	215	14351.0	727	23441.6	688.9
9123.3	459	17221.4	874	15585.5	500.7
10584.1	528	43467.2	1079	27940.3	506.4
10150.7	128	5268.0	952	6046.8	456.4
7653.0	230	24136.5	207	3804.5	134.6
6565.0	442	14424.2	947	8097.8	921.8
11305.4	440	36148.0	973	13550.7	374.5
9009.6	270	17964.6	793	11453.0	1064.0
3963.3	218	6906.4	715	8988.1	639.7
2358.4	183	9067.2	259	3457.9	114.4
5587.0	91	5667.5	136	4983.2	135.4
1591.0	80	6660.8	269	11903.8	522.8
5043.8	225	13876.4	971	35207.1	322.7
12716.9	160	7460.0	481	2608.4	245.0
12947.8	160	8570.7	167	5105.7	183.6
7768.5	123	4306.4	271	3266.5	299.2
3850.0	85	5100.0	216	2169.3	80.4
