0.404	39.15	15.55	10.75	0.524	3.645	2.395	0.31
1.263	54.17	6.13	19.47	2.198	10.336	0.495	0.118
0.871	11.88	6.98	-18.22	0.481	16.146	6.385	0.624
1.317	20.38	13.13	57.79	0.299	19.396	1.937	0.673
0.722	9.33	10.09	10.22	0.444	2.515	17.564	0.3
-0.195	26.28	0.95	-7.59	0.292	0.596	4.78	0.015
0.329	22.76	1.74	-56.57	0.357	0.543	3.238	0.087
-0.001	269.39	-20.85	44.49	0.093	3.466	0.123	-0.329
-0.222	73.68	2.04	106.73	0.654	3.157	0.841	0.021
0.005	42.77	-4.15	-205.21	0.472	2.622	1.882	-0.048
1.564	59.86	-9.22	-313.31	0.284	1.565	1.444	-0.102
0.74	13.27	6.14	-7.3	0.554	18.406	5.631	0.482
